"length","ticks","seconds"
282579,39559,0.039559
283080,39296,0.039296
283581,39363,0.039363
284082,39497,0.039497
284583,39713,0.039713
285084,39993,0.039993
285585,34607,0.034607
286086,30914,0.030914
286587,30593,0.030593
287088,31229,0.031229
287589,30871,0.030871
288090,31558,0.031558
288591,31546,0.031546
289092,31594,0.031594
289593,31449,0.031449
290094,37855,0.037855
290595,39121,0.039121
291096,32123,0.032123
291597,32018,0.032018
292098,31511,0.031511
292599,30822,0.030822
293100,31017,0.031017
293601,30918,0.030918
294102,30991,0.030991
294603,31123,0.031123
295104,31882,0.031882
295605,41185,0.041185
296106,41303,0.041303
296607,39815,0.039815
297108,32651,0.032651
297609,32239,0.032239
298110,32444,0.032444
298611,31999,0.031999
299112,32139,0.032139
299613,33081,0.033081
300114,33627,0.033627
300615,32613,0.032613
301116,32644,0.032644
301617,32577,0.032577
302118,32421,0.032421
302619,32751,0.032751
303120,32829,0.032829
303621,32463,0.032463
304122,32451,0.032451
304623,32636,0.032636
305124,32969,0.032969
305625,32976,0.032976
306126,32822,0.032822
306627,33451,0.033451
307128,32995,0.032995
307629,33059,0.033059
308130,33124,0.033124
308631,33115,0.033115
309132,33012,0.033012
309633,33095,0.033095
310134,33018,0.033018
310635,33470,0.03347
311136,33330,0.03333
311637,33769,0.033769
312138,33936,0.033936
312639,35225,0.035225
313140,35050,0.03505
313641,33679,0.033679
314142,34088,0.034088
314643,34940,0.03494
315144,34224,0.034224
315645,34486,0.034486
316146,33975,0.033975
316647,34002,0.034002
317148,34049,0.034049
317649,34400,0.0344
318150,34634,0.034634
318651,34841,0.034841
319152,34299,0.034299
319653,34990,0.03499
320154,35989,0.035989
320655,34932,0.034932
321156,34910,0.03491
321657,35254,0.035254
322158,34866,0.034866
322659,35056,0.035056
323160,35310,0.03531
323661,35259,0.035259
324162,34826,0.034826
324663,35681,0.035681
325164,43769,0.043769
325665,39314,0.039314
326166,35745,0.035745
326667,40355,0.040355
327168,45960,0.04596
327669,42756,0.042756
328170,34936,0.034936
328671,35056,0.035056
329172,35161,0.035161
329673,35133,0.035133
330174,36782,0.036782
330675,36357,0.036357
331176,36487,0.036487
331677,36474,0.036474
332178,36580,0.03658
332679,36619,0.036619
333180,35623,0.035623
333681,40886,0.040886
334182,46151,0.046151
334683,37406,0.037406
335184,36937,0.036937
335685,45209,0.045209
336186,47430,0.04743
336687,38361,0.038361
337188,36436,0.036436
337689,36937,0.036937
338190,41113,0.041113
338691,40240,0.04024
339192,37408,0.037408
339693,37457,0.037457
340194,42211,0.042211
340695,48087,0.048087
341196,46069,0.046069
341697,37618,0.037618
342198,38184,0.038184
342699,37205,0.037205
343200,64084,0.064084
343701,65040,0.06504
344202,48598,0.048598
344703,41530,0.04153
345204,38471,0.038471
345705,38926,0.038926
346206,37827,0.037827
346707,37674,0.037674
347208,37799,0.037799
347709,37790,0.03779
348210,38132,0.038132
348711,38126,0.038126
349212,38625,0.038625
